id,valence,ranking,text
CMLR1973002_S027,-0.10329539609053498,1,"The negative implication, however, of the Commission's stress on these facts is that an Article 85 violation could arise for an exclusive manufacturing licence if the situation were opposite."
CMLR1996028_S097,-0.07615202702702703,2,"It may give an impression of the resistance of German courts, which are deeply concerned about the extremely unjust effects of the Bananas Regulation and the regrettable insufficiency of the judicial control by the Court of Justice in this case."
CMLR1982003_S074,-0.046868540051679584,3,"By strictly limiting point of entry requirements, and at the same time leaving unsolved the way in which inquiries into an alien's right to enter and remain should be pursued, the Court has created a major problem for the immigration authorities of the Member States."
CMLR1993040_S015,-0.04304861111111111,4,"The marked reluctance of aggrieved tenderers to pursue infringements before their national courts, as well as the flaws in the Commission's power to intervene, have been noted above."
CMLR1973025_S019,-0.04259499643874644,5,"Secondly, by ordering the firm to restrict or alter its business methods the Commission intends to put an end to the offensive restrictive practice and regulate future business conduct, thereby preventing any similar distortion of competition by this firm in the future."
CMLR2013036_S081,-0.04202121511702675,6,"Possibly, the Court realized the danger of a vicious circle creeping into Europe, according to which structural and operational disfunctioning may erode confidence and undermine one of the essential conditions of trust."
CMLR2011033_S057,-0.03314043209876543,7,"While it is inadequate to use national law principles as binding on EU judges, national rules can be useful in order to interpret EU law in cases of doubt."
CMLR1996040_S094,-0.029305555555555557,8,"The lump sum and the administrative fine which the ECJ can impose bear little relation to the particular type of Treaty violation, and are to this extent conceived more as a monetary fine or coercive measure."
CMLR1999059_S082,-0.02089165464165464,9,"Secondly, the ECJ does not require any potential damage to the reputation which might be the result of the misleading impression that the reseller were in any way connected with the trade mark owner."
CMLR1999059_S029,-0.018411210317460316,10,"supra - is not changed or impaired, the Court deems the whole product including the packaging to be worthy of trade mark protection against any unnecessary Urlesberger interference."
CMLR2023119_S017,-0.021673900462962963,11,"One could argue that the moment the Court no longer bases its concepts on EU legal acts, it steps outside its competence and disturbs the EU's institutional balance."
CMLR1993005_S025,-0.013496426734273956,12,"On the contrary, as will be set out below, this ruling fits perfectly well in the system of the Treaty and is not in contradiction with earlier case law."
CMLR2005002_S105,-0.019599761051373954,13,"Up till then the Commission's approach had been to overlook such misapplications, not so much because it considered them tolerable, but rather because of the sensitivity involved in ""condemning"" a national judiciary."
CMLR1983014_S021,-0.00693190586419753,14,"We assume that the Dutch Government and the Belgian Government, which also submitted written statements to this case, were rather shocked by the consequences which this interpretation of direct effect of Article 12 would have for the freedom of their tax administration."
CMLR1980003_S138,-0.0078291472496345,15,"a. The first, and at the same time lightest procedure is that of the cas non previous (Art. 95, first para.), according to which the Commission can, in cases for which the Treaty does not provide, adopt a recommendation or take a decision, should that be necessary to attain one of the objectives, as laid down in the basic articles; consultation of the Consultative Committee and the unanimous assent' of the Council are then required."
CMLR1985033_S065,-0.0024029982363315693,16,"It would be ironical if one of the main results of the Council's failure to take a decision by qualified majority on the 1985 agricultural prices package, were to be a significant increase in the powers of the Commission."
CMLR1989022_S021,0.006384250748910676,17,"In connection with the extension of the Community approach until 1992, the Commission itself doubts the validity of this transitional measure, since the framework conditions of environment policy have changed since 1 9 7 4 ."
CMLR1970022_S096,0.007821428571428575,18,"A really conscientious effort by national courts to refer all questions of Community Law would, as the incidence of litigation involving Community norms increases, become onerous both for the Community Court and for national litigants subject to repeated delays."
CMLR2025002_S059,0.01807561728395062,19,"The first one is that there is no specific service designated within the Commission to handle such complaints, which are invariably forwarded to the national authorities."
CMLR2008007_S060,0.029112451946924602,20,"If the Court theoretically admits that there are general measures, but almost always finds them selective, then there is no legal certainty to Member States and beneficiaries what kind of characteristics general measures should have."
CMLR1975025_S019,0.029519149831649834,21,"In our opinion, the only answer that can be given as Community law stands at present is a clear no(in contrast to the situation applying to the Guidance Section of the EAGGF)."
CMLR2011032_S061,0.04024192782526116,22,"Arguably, this dimension of Article 258 TFEU, insofar as it is the central mechanism for institutional enforcement of EU law, has gained considerable importance in the context of fundamental rights protection."
CMLR1985002_S006,0.037950365137865136,23,"Like the Communities, it encountered difficulties when trying to realize the ambitious objectives of its early years; but there was one thing that proved highly successful, and that was the work of the European Commission of Human Rights and the European Court of Human Rights."
CMLR2005080_S143,0.04486230255991285,24,And the examples can be multiplied...The European Court of Justice and the EC legislature have taken some very important steps in recent years to infuse social awareness and sensitivity in the way the EU operates.
CMLR1990018_S059,0.04361979166666667,25,"De facto, the Commission therefore remains the master of the game where a Court of First Instance might have made a valuable contribution to a closer scrutiny of the complex interface between competition and trade policy."
CMLR2014087_S054,0.04952559754521964,26,"The most innovative aspects of the solution are, on the one hand, prevening arbitration panels from deciding on questions of interpretation of Union law, and, on the other hand, enabling them to request the ECJ to give a ruling on the question which will be binding on the arbitration panel."
CMLR1968040_S023,0.06224909773535851,27,"Nor does the colourless word ""negotiate"" clarify the degree of control permitted the Commission over the formulation of internal Community negotiating positions and over the conduct of negotiations with third states."
CMLR1990044_S065,0.06526103424587427,28,Chernobyl' was simply a case where there was a lacuna in the Treaties which had to be filled in order to ensure effective protection for the rights of the Parliament.
CMLR2018060_S054,0.08338053150553151,29,"Whereas some scholars have advocated that a positive duty requiring Member States to provide ""adequate"" judicial protection should emerge from these principles,131 the ECJ has tended to require a minimum level of judicial protection only."
CMLR1984006_S026,0.10189647633744855,30,"As the Community is already making a comprehensive effort to reduce surplus production capacity, the commission believes that enlargement of the Community must not jeopardise its efforts or the results achieved."
CMLR1985023_S021,0.10896809895833333,31,"Given the cooperation of Community industry or the Member States, the new instrument makes it easier for the Commission to conduct a more active trade diplomacy."
